806,"Jerusalem -- History -- Latin Kingdom, 1099-1244 -- Poetry"
807,Castaways -- Fiction
808,Shipwrecks -- Fiction
809,Villages -- Fiction
810,Older women -- Fiction
811,Soul
812,Spiritual warfare -- Fiction
813,Choice -- Fiction
814,Didactic poetry
815,Melancholy -- Poetry
816,Cheerfulness -- Poetry
817,Eve (Biblical figure)
818,Adam -- (Biblical figure)
819,Poverty -- Juvenile fiction
820,New York (N.Y.) -- History -- 1865-1898 -- Juvenile fiction
821,Lyric poetry
822,"Mythology, Greek -- Poetry"
823,"Helen, of Troy, Queen of Sparta -- Poetry"
824,Journalists -- Fiction
825,Middle West -- Fiction
826,Mining engineers -- Fiction
827,Revolutions -- Fiction
828,Americans -- South America -- Fiction
829,Soldiers of fortune -- Fiction
830,Mines and mineral resources -- Fiction
831,Iron industry and trade -- Great Britain -- Biography
832,Industrial arts -- Biography
833,"Davis, Richard Harding, 1864-1916 -- Correspondence"
834,Foreign correspondents -- United States -- Biography
